标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
鼓楼区新模范马路芦席营南北精装两房业主诚心出售,芦席营 ,2室1厅 | 59.03平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,118万,"19,990元/平",118.780976,32.075427,江苏省南京市鼓楼区芦席营,道路
市政天元城好房楼层好，有车位，看房方便，业主诚心卖,市政天元城 ,3室2厅 | 119.15平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,4人关注 / 2个月以前发布,312万,"26,186元/平",118.853012,31.936378,江苏省南京市江宁区花语座,住宅区
出售钱墉望景花园 两房  好楼层,钱塘望景花园 ,2室1厅 | 86.74平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 24天以前发布,137万,"15,795元/平",118.618279,32.072957,江苏省南京市浦口区钱塘·望景花园,住宅区
地铁口，大三房，架空一楼，采光佳,宝润花园 ,3室1厅 | 102.24平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,88万,"8,608元/平",118.733932,32.214131,江苏省南京市六合区宝润花园,住宅区
2号线地铁口 商品房 已出新  低楼层,银轮花园 ,2室2厅 | 77.04平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,249万,"32,321元/平",,,,
仙林学则路 亚东城东区大平层板楼好房诚心售 随时看,亚东城东区 ,3室2厅 | 139.69平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,17人关注 / 3个月以前发布,301万,"21,548元/平",118.913823,32.091585,江苏省南京市栖霞区亚东城东区,住宅区
骏景华庭 不临路 自住精装修 保养好,骏景华庭 ,2室1厅 | 84.66平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,2人关注 / 3个月以前发布,223万,"26,341元/平",118.834430,31.917828,江苏省南京市江宁区骏景华庭,住宅区
奥南 义德西苑 全新装修大两房 拎包入住 诚心出售,义德西苑 ,2室1厅 | 77.22平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,105万,"13,598元/平",,,,
雨花板桥·锦华新城 创业创新城旁业主诚心出售,锦华新城 ,2室1厅 | 89.13平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 5个月以前发布,76万,"8,527元/平",118.637448,31.922507,江苏省南京市雨花台区锦华新城,住宅区
滨江馨园  新空毛坯 喜欢自己装修的可以关注哦,滨江馨园 ,2室1厅 | 75.06平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,73万,"9,726元/平",118.625150,32.040225,江苏省南京市浦口区滨江馨园,住宅区
