酒店,评论,价格,地址,纬度,经度
满艺居影院公寓(小行地铁站店),72条点评,88,小行里204号小行综合楼3楼,31.985966,118.746199
如家精选酒店(南京火车站玄武湖店),"2,947条点评",217,龙蟠路79号,32.089209,118.790403
南京万汇城酒店,688条点评,237,浦口大道8号1层,32.062755,118.657286
美豪丽致酒店(南京江北新区工业大学店),"3,165条点评",268,浦口大道18号,32.069131,118.646117
桔子水晶南京江北新区工业大学酒店,"1,673条点评",255,江北新区浦口大道18号红星美凯龙B区塔楼,32.070799,118.645971
苏宁雅悦酒店(南京仙林大学城徐庄软件园店),908条点评,209,行辅路7号,32.096741,118.888171
南京金帆万源酒店,"6,714条点评",232,牌楼巷47-1号,32.045238,118.772196
南京南站亚朵酒店,"2,701条点评",324,玉盘西街8号绿地之窗D-2座,31.966775,118.788329
乐优居商旅酒店公寓(南京奥体新城科技园店),"2,825条点评",128,楠溪江东街55号龙湖时代上城3幢1楼背面,31.988749,118.738513
南京江宁航空航天大学亚朵酒店,917条点评,306,天元西路160号中航樾府41栋禧樾广场一楼,31.928414,118.799494
格林豪泰酒店(百家湖科技产业园九龙湖地铁站店),459条点评,146,殷华街28号,31.918088,118.831952
南京仙林大学城希尔顿欢朋酒店,551条点评,387,文澜路2号B座,32.095134,118.922404
世纪缘国际会议中心(南京南站百家湖店),"3,114条点评",278,双龙大道1680号金鹰西门对面,31.933438,118.819589
维克特瑞国际公寓(南京南站店),432条点评,107,江南路金轮星际中心A3栋7楼,31.960962,118.801484
如家精选酒店(南京火车站玄武湖店),"2,947条点评",187,龙蟠路79号,32.089209,118.790403
南京南站万达美华酒店,"7,222条点评",288,南京南站南广场金兰路4号2幢,31.96475,118.801883
桔子水晶南京江北新区工业大学酒店,"1,673条点评",266,江北新区浦口大道18号红星美凯龙B区塔楼,32.070799,118.645971
南京金帆万源酒店,"6,714条点评",232,牌楼巷47-1号,32.045238,118.772196
沐时酒店(南京新街口常府街地铁站店),797条点评,117,太平南路297号楼7层,32.03309,118.792567
弗思特连锁酒店(南京江宁天印大道地铁站店),730条点评,126,天印大道1388号,31.938465,118.865166
都汇壹品(南京南站店),"3,205条点评",84,东山街道竹翠路6号都荟天地城A4幢二单元104室,31.963899,118.795755
南京仙林大学城希尔顿欢朋酒店,551条点评,387,文澜路2号B座,32.095134,118.922404
南京馨乐庭江北虹悦城公寓酒店,95条点评,261,珠泉东路7号,32.066453,118.640495
芒果酒店(南京河西万达莫愁湖地铁站店),915条点评,95,汉中门大街81号,32.03747,118.755271
南京万汇城酒店,688条点评,237,浦口大道8号1层,32.062755,118.657286
美豪丽致酒店(南京江北新区工业大学店),"3,165条点评",298,浦口大道18号,32.069131,118.646117
维克特瑞国际公寓(南京南站店),432条点评,107,江南路金轮星际中心A3栋7楼,31.960962,118.801484
如家精选酒店(南京火车站玄武湖店),"2,947条点评",182,龙蟠路79号,32.089209,118.790403
桔子水晶南京江北新区工业大学酒店,"1,673条点评",266,江北新区浦口大道18号红星美凯龙B区塔楼,32.070799,118.645971
南京南站万达美华酒店,"7,222条点评",288,南京南站南广场金兰路4号2幢,31.96475,118.801883
南京金帆万源酒店,"6,714条点评",232,牌楼巷47-1号,32.045238,118.772196
沐时酒店(南京新街口常府街地铁站店),797条点评,117,太平南路297号楼7层,32.03309,118.792567
都汇壹品(南京南站店),"3,206条点评",84,东山街道竹翠路6号都荟天地城A4幢二单元104室,31.963899,118.795755
弗思特连锁酒店(南京江宁天印大道地铁站店),730条点评,126,天印大道1388号,31.938465,118.865166
南京万汇城酒店,688条点评,237,浦口大道8号1层,32.062755,118.657286
南京仙林大学城希尔顿欢朋酒店,551条点评,387,文澜路2号B座,32.095134,118.922404
麗枫酒店(南京卡子门地铁站永乐路店),"1,004条点评",229,永乐路111号万象都荟商业广场B座1楼,31.998596,118.796765
南京江宁航空航天大学亚朵酒店,917条点评,306,天元西路160号中航樾府41栋禧樾广场一楼,31.928414,118.799494
南京馨乐庭江北虹悦城公寓酒店,95条点评,261,珠泉东路7号,32.066453,118.640495
桔子水晶南京浦口研创园酒店,"1,753条点评",266,新浦路128号宝隆时代广场6号楼,32.054109,118.639355
美豪丽致酒店(南京江北新区工业大学店),"3,165条点评",298,浦口大道18号,32.069131,118.646117
锦江之星(南京火车站中央门店),476条点评,129,建宁路16号,32.091309,118.7756
南京南站亚朵酒店,"2,701条点评",359,玉盘西街8号绿地之窗D-2座,31.966775,118.788329
南京钟山宾馆(江苏省会议中心),"4,290条点评",298,中山东路307号,32.040498,118.811714
世纪缘国际会议中心(南京南站百家湖店),"3,114条点评",278,双龙大道1680号金鹰西门对面,31.933438,118.819589
玺悦·弘酒店(南京南站店),"2,942条点评",247,石华街3号,31.970446,118.793562
芒果酒店(南京河西万达莫愁湖地铁站店),915条点评,95,汉中门大街81号,32.03747,118.755271
书香世家酒店(南京新街口德基广场店),"6,999条点评",299,管家桥65号新华大厦内,32.044419,118.78315
乐优居商旅酒店公寓(南京奥体新城科技园店),"2,825条点评",146,楠溪江东街55号龙湖时代上城3幢1楼背面,31.988749,118.738513
全季酒店(南京江宁东麒路店),762条点评,257,东山街道润麒南路1号晴天汽车广场1号楼3-5层1-301,31.97866,118.879692
南梧影院公寓(南京南站都荟天地店),"2,711条点评",97,竹翠路7号都荟天地城D1幢1楼111-3室,31.964018,118.797307
漫庭湖景酒店(南京雨花吾悦广场店),14条点评,116,古雄大道211号1幢2711室,31.912863,118.654468
南京泊金黄埔酒店,"3,611条点评",358,黄埔路2-2号,32.042469,118.811395
南京黄埔大酒店,"4,546条点评",298,黄埔路2-2号,32.042562,118.811333
百家湖水晶蓝湾公寓酒店,624条点评,146,双龙大道1568号水晶蓝湾3幢1单元13楼1302对面,31.934092,118.820387
格林东方酒店(南京禄口机场店),"1,104条点评",302,汇安南路9号,31.735763,118.882963
初一Loft影院酒店(南京工业大学虹悦城店),"1,043条点评",118,毅达汇创中心5栋1楼门面123号,32.067439,118.643448
南京玄武湖公园亚朵酒店,"2,459条点评",306,龙蟠路35号,32.09012,118.788652
南京夫子庙步行街亚朵轻居酒店,"2,520条点评",341,大石坝街37-45号,32.019864,118.79175
南京新晶丽酒店,"1,415条点评",388,紫荆花路2号,31.991565,118.793155
桔子水晶南京新街口酒店,"5,353条点评",413,中山南路三元巷5号 (地铁新街口15张府园1),32.034885,118.783734
南京万公馆智慧酒店(万汇城地铁站店),268条点评,104,浦口大道8号万汇公馆10栋9层,32.063128,118.657727
清沐铂金酒店(南京理工大学中山陵景区店),347条点评,189,孝陵卫街99号104室,32.035409,118.860165
清沐•尚酒店(南京南站南广场店),"1,505条点评",302,都荟天地城D区1幢1楼,31.963908,118.797826
美璟大酒店(南京城北万象汇万寿地铁站店),473条点评,144,燕子矶招商花园城ipark公寓12楼,32.122985,118.83374
南京老门东漫心府,"2,897条点评",390,养虎巷28号晨光1865创意产业园内E5幢,32.007034,118.789064
如家华驿精选酒店(南京禄口国际机场铜山地铁站店),936条点评,108,浣焦路28号,31.696388,118.883304
南京城市名人酒店,"4,584条点评",353,中山北路30号,32.062756,118.780628
南京夫子庙银桥亚朵酒店,"2,083条点评",332,应天大街588号,32.013449,118.765177
南京仙林大道金马路亚朵酒店,"1,769条点评",315,神马路6号,32.069674,118.898803
南京富力万达嘉华酒店,"4,147条点评",498,竹山路55号,31.951971,118.845033
满居公寓(南京南站店),510条点评,78,竹翠路6号都荟天地城A4栋809室,31.964002,118.795902
如家商旅酒店(南京新街口张府园地铁站店),"2,583条点评",213,中山南路234号,32.033101,118.783568
初见酒店公寓(玄武门地铁站狮子桥店),273条点评,80,云南北路28号15号楼5层商铺,32.067982,118.77783
南京朗亚酒店式公寓(仙林大学城万达茂店),"1,171条点评",104,西岗街道仙林大道181号万达茂中心B座20楼2013室,32.120637,118.988312
南京玄武饭店,"5,202条点评",424,中央路193号,32.070791,118.783697
南京凯铂·精品公寓(新街口店),"2,114条点评",191,中山路102号A座3栋1楼,32.04734,118.784823
南京新街口颐景臻选酒店,273条点评,135,常府街85号4楼,32.033328,118.796984
桔子水晶南京夫子庙中山南路酒店,"2,834条点评",308,中山南路360号,32.028232,118.783351
星朵公寓(南京南站万科都荟天地店),"2,002条点评",74,万科都荟天地城D1栋2楼240室,31.96401,118.797106
花筑·南京市博物院夫子庙秦淮酒店,"3,510条点评",119,解放南路八宝东街1号,32.029362,118.810105
南京香格里拉大酒店,"12,489条点评",1050,中央路329号,32.077771,118.782672
全季酒店(南京江宁天印大道店),381条点评,288,东山街道同夏路24号东山阳光新城B栋7层,31.956323,118.859857
如家·neo(南京夫子庙集庆门店),"1,551条点评",140,集庆门来凤街2号,32.019384,118.770292
南京心颐荟·星俪辰酒店,"2,082条点评",379,汉中门大街299号心颐荟1楼,32.039161,118.735877
南京金融城Modena辉盛名致服务公寓(奥体博览中心店),"1,427条点评",458,江东中路399号金融城二期西区A4栋,31.984598,118.714517
南京万诗顿公寓(金融城店),297条点评,695,江东中路399号融域C3栋,31.984345,118.715726
南京山水大酒店,"3,878条点评",364,龙蟠中路118号,32.044572,118.806021
桔子水晶南京总统府中山东路酒店,"5,583条点评",404,中山东路472号,32.040044,118.801882
南京怡华酒店,"8,399条点评",348,中山北路45号,32.062356,118.779652
南京江北万汇城智选假日酒店,598条点评,334,浦口大道东方万汇城,32.062755,118.657286
美龄阁酒店(南京中山陵景区店),131条点评,345,中山陵四方城1号十朝文化园5号楼,32.043979,118.84283
美豪丽致酒店(南京奥体国际博览中心店),"1,467条点评",476,江东中路305号中泰国际广场北楼,32.001756,118.727536
南京鼓楼晶丽酒店,"3,147条点评",299,北京西路7号,32.058742,118.779362
凯里亚德酒店(南京虹桥中心店),797条点评,241,中山北路283号,32.077921,118.761623
全季酒店(南京南站北广场店),35条点评,341,玉兰路99号明发商业广场1幢1楼,31.977687,118.797475
南京璞季城市亲子民宿(夫子庙店),3条点评,547,中华路1号观城国际北楼1号楼2栋1010室,32.028125,118.786574
如家精选酒店(南京奥体中心兴隆大街地铁站店),390条点评,416,江东中路146号,32.019653,118.73708
美季影院酒店(南京玄武湖鼓楼地铁站店),"1,088条点评",178,中山北路107-143号5F,32.067272,118.774214
漫悠·拾光森林酒店(南京夫子庙中华门店),490条点评,288,应天大街402号1865创意园B5栋,32.006709,118.786741
维克特瑞国际公寓(南京南站店),432条点评,107,江南路金轮星际中心A3栋7楼,31.960962,118.801484
如家精选酒店(南京火车站玄武湖店),"2,947条点评",182,龙蟠路79号,32.089209,118.790403
桔子水晶南京江北新区工业大学酒店,"1,673条点评",266,江北新区浦口大道18号红星美凯龙B区塔楼,32.070799,118.645971
南京南站万达美华酒店,"7,222条点评",288,南京南站南广场金兰路4号2幢,31.96475,118.801883
南京金帆万源酒店,"6,714条点评",232,牌楼巷47-1号,32.045238,118.772196
沐时酒店(南京新街口常府街地铁站店),797条点评,117,太平南路297号楼7层,32.03309,118.792567
都汇壹品(南京南站店),"3,206条点评",84,东山街道竹翠路6号都荟天地城A4幢二单元104室,31.963899,118.795755
弗思特连锁酒店(南京江宁天印大道地铁站店),730条点评,126,天印大道1388号,31.938465,118.865166
南京万汇城酒店,688条点评,237,浦口大道8号1层,32.062755,118.657286
南京仙林大学城希尔顿欢朋酒店,551条点评,387,文澜路2号B座,32.095134,118.922404
麗枫酒店(南京卡子门地铁站永乐路店),"1,004条点评",229,永乐路111号万象都荟商业广场B座1楼,31.998596,118.796765
南京江宁航空航天大学亚朵酒店,917条点评,306,天元西路160号中航樾府41栋禧樾广场一楼,31.928414,118.799494
南京馨乐庭江北虹悦城公寓酒店,95条点评,261,珠泉东路7号,32.066453,118.640495
桔子水晶南京浦口研创园酒店,"1,753条点评",266,新浦路128号宝隆时代广场6号楼,32.054109,118.639355
美豪丽致酒店(南京江北新区工业大学店),"3,165条点评",298,浦口大道18号,32.069131,118.646117
锦江之星(南京火车站中央门店),476条点评,129,建宁路16号,32.091309,118.7756
南京南站亚朵酒店,"2,701条点评",359,玉盘西街8号绿地之窗D-2座,31.966775,118.788329
南京钟山宾馆(江苏省会议中心),"4,290条点评",298,中山东路307号,32.040498,118.811714
世纪缘国际会议中心(南京南站百家湖店),"3,114条点评",278,双龙大道1680号金鹰西门对面,31.933438,118.819589
乐优居商旅酒店公寓(南京奥体新城科技园店),"2,825条点评",146,楠溪江东街55号龙湖时代上城3幢1楼背面,31.988749,118.738513
芒果酒店(南京河西万达莫愁湖地铁站店),915条点评,95,汉中门大街81号,32.03747,118.755271
玺悦·弘酒店(南京南站店),"2,942条点评",247,石华街3号,31.970446,118.793562
书香世家酒店(南京新街口德基广场店),"6,999条点评",299,管家桥65号新华大厦内,32.044419,118.78315
全季酒店(南京江宁东麒路店),762条点评,257,东山街道润麒南路1号晴天汽车广场1号楼3-5层1-301,31.97866,118.879692
南梧影院公寓(南京南站都荟天地店),"2,711条点评",97,竹翠路7号都荟天地城D1幢1楼111-3室,31.964018,118.797307
初一Loft影院酒店(南京工业大学虹悦城店),"1,043条点评",118,毅达汇创中心5栋1楼门面123号,32.067439,118.643448
南京泊金黄埔酒店,"3,611条点评",358,黄埔路2-2号,32.042469,118.811395
南京黄埔大酒店,"4,546条点评",298,黄埔路2-2号,32.042562,118.811333
百家湖水晶蓝湾公寓酒店,624条点评,146,双龙大道1568号水晶蓝湾3幢1单元13楼1302对面,31.934092,118.820387
格林东方酒店(南京禄口机场店),"1,104条点评",302,汇安南路9号,31.735763,118.882963
漫庭湖景酒店(南京雨花吾悦广场店),14条点评,116,古雄大道211号1幢2711室,31.912863,118.654468
南京玄武湖公园亚朵酒店,"2,459条点评",306,龙蟠路35号,32.09012,118.788652
南京夫子庙步行街亚朵轻居酒店,"2,520条点评",341,大石坝街37-45号,32.019864,118.79175
南京新晶丽酒店,"1,415条点评",388,紫荆花路2号,31.991565,118.793155
桔子水晶南京新街口酒店,"5,353条点评",413,中山南路三元巷5号 (地铁新街口15张府园1),32.034885,118.783734
南京万公馆智慧酒店(万汇城地铁站店),268条点评,104,浦口大道8号万汇公馆10栋9层,32.063128,118.657727
清沐铂金酒店(南京理工大学中山陵景区店),347条点评,189,孝陵卫街99号104室,32.035409,118.860165
清沐•尚酒店(南京南站南广场店),"1,505条点评",302,都荟天地城D区1幢1楼,31.963908,118.797826
美璟大酒店(南京城北万象汇万寿地铁站店),473条点评,144,燕子矶招商花园城ipark公寓12楼,32.122985,118.83374
南京老门东漫心府,"2,897条点评",390,养虎巷28号晨光1865创意产业园内E5幢,32.007034,118.789064
如家华驿精选酒店(南京禄口国际机场铜山地铁站店),936条点评,108,浣焦路28号,31.696388,118.883304
南京城市名人酒店,"4,584条点评",353,中山北路30号,32.062756,118.780628
南京夫子庙银桥亚朵酒店,"2,083条点评",332,应天大街588号,32.013449,118.765177
南京仙林大道金马路亚朵酒店,"1,769条点评",315,神马路6号,32.069674,118.898803
南京富力万达嘉华酒店,"4,147条点评",498,竹山路55号,31.951971,118.845033
满居公寓(南京南站店),510条点评,78,竹翠路6号都荟天地城A4栋809室,31.964002,118.795902
如家商旅酒店(南京新街口张府园地铁站店),"2,583条点评",213,中山南路234号,32.033101,118.783568
初见酒店公寓(玄武门地铁站狮子桥店),273条点评,80,云南北路28号15号楼5层商铺,32.067982,118.77783
南京朗亚酒店式公寓(仙林大学城万达茂店),"1,171条点评",104,西岗街道仙林大道181号万达茂中心B座20楼2013室,32.120637,118.988312
南京玄武饭店,"5,202条点评",424,中央路193号,32.070791,118.783697
南京凯铂·精品公寓(新街口店),"2,114条点评",191,中山路102号A座3栋1楼,32.04734,118.784823
南京新街口颐景臻选酒店,273条点评,135,常府街85号4楼,32.033328,118.796984
桔子水晶南京夫子庙中山南路酒店,"2,834条点评",308,中山南路360号,32.028232,118.783351
星朵公寓(南京南站万科都荟天地店),"2,002条点评",74,万科都荟天地城D1栋2楼240室,31.96401,118.797106
花筑·南京市博物院夫子庙秦淮酒店,"3,510条点评",119,解放南路八宝东街1号,32.029362,118.810105
南京香格里拉大酒店,"12,489条点评",1050,中央路329号,32.077771,118.782672
全季酒店(南京江宁天印大道店),381条点评,288,东山街道同夏路24号东山阳光新城B栋7层,31.956323,118.859857
如家·neo(南京夫子庙集庆门店),"1,551条点评",140,集庆门来凤街2号,32.019384,118.770292
南京心颐荟·星俪辰酒店,"2,082条点评",379,汉中门大街299号心颐荟1楼,32.039161,118.735877
南京金融城Modena辉盛名致服务公寓(奥体博览中心店),"1,427条点评",458,江东中路399号金融城二期西区A4栋,31.984598,118.714517
南京万诗顿公寓(金融城店),297条点评,695,江东中路399号融域C3栋,31.984345,118.715726
南京山水大酒店,"3,878条点评",364,龙蟠中路118号,32.044572,118.806021
桔子水晶南京总统府中山东路酒店,"5,583条点评",404,中山东路472号,32.040044,118.801882
维克特瑞国际公寓(南京南站店),432条点评,107,江南路金轮星际中心A3栋7楼,31.960962,118.801484
如家精选酒店(南京火车站玄武湖店),"2,947条点评",182,龙蟠路79号,32.089209,118.790403
桔子水晶南京江北新区工业大学酒店,"1,673条点评",266,江北新区浦口大道18号红星美凯龙B区塔楼,32.070799,118.645971
