,name,lat,lng
1,红山森林动物园,32.094856,118.817014
3,玄武湖公园,32.061389,118.794722
7,南京鸡鸣寺,32.069722,118.799722
8,先锋书店,32.050837,118.773518
9,德基艺术博物馆,32.044893,118.785084
10,总统府,32.044228,118.797398
2,夫子庙,32.031667,118.786111
11,小西湖,32.016034,118.786685
12,中华门,32.0128,118.781821
13,遇难同胞纪念馆,32.035217,118.742372
14,秦淮河,32.020777,118.791498
6,南京博物馆,32.041667,118.808889
15,梧桐大道,32.04605,118.841586
16,明孝陵,32.051926,118.840463
5,音乐台,32.055096,118.855382
17,灵谷寺,32.055418,118.867942
4,中山陵,32.047778,118.891667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
