店名,具体地址,经度,纬度,num
小厨娘淮扬菜(麒麟门麟珑汇店),南京市江宁区开城路111号,118.926838,32.046204,1
冯三嬢翘脚牛肉,南京市秦淮区丰富路203号,118.781992,32.037928,2
米店（夫子庙店）,南京市秦淮区钓鱼台184号,118.779091,32.016804,3
绿藤生机（紫峰店）,南京市鼓楼区中山北路8号,118.782565,32.06098,4
啫一 古法粤菜,南京市玄武区艾尚天地A座,118.784622,32.046445,5
鸭川食堂,南京市玄武区杨将军巷9号D9街区,118.793951,32.045511,6
Gaga（德基广场店）,,118.784726,32.044182,7
辣当家,,118.813609,32.031127,8
火山屋台,,118.785745,32.036494,9
芮卡,,118.781219,32.039084,10
鸭血粉丝汤,,118.761661,32.082221,11
口口火山,,118.784425,32.03641,12
泥炉烧肉师,,118.787965,32.048031,13
张记鸡蛋灌饼,,118.782251,32.037825,14
茶颜悦色,,118.7869911,32.04755204,15
陆氏梅花糕,,118.7956537,32.01757185,16
伊兹铁板烧,,118.7943423,32.01860945,17
庙东排骨,,118.7951295,32.01990122,18
蒋有记,,118.813529,32.02102898,19
小郑酥烧饼,南京市栖霞区迈皋桥街22号,118.8162006,32.11269678,20
米辣,,118.8270587,31.93597085,21
鸿福面馆,南京市秦淮区科巷新市集西门,118.8023637,32.04503806,22
朱小乐龙虾馆,,118.7536716,32.04659921,23
鸡鸣汤包,,118.8236153,32.15240017,24
梅花颂,,118.8027265,32.0522514,25
许阿姨糕团店,,118.7541097,32.03641199,26
 ,,,,
